student_id,course_id
100248,186457
100248,186457
100248,186759
100248,184080
100248,181641
100248,181641
100248,184080
100248,186759
100606,184446
100606,184900
100606,184101
100606,188247
100606,188255
100606,184101
100606,188255
100606,184161
100606,184161
100606,184900
100606,184446
100606,188395
100606,188247
100606,188395
102197,188387
102197,184187
102197,184187
102197,188387
102197,184063
102197,188361
102197,184063
102197,188361
102197,188379
102197,188379
103249,184217
103249,184217
103249,184322
103249,188425
103249,188336
103249,188336
103249,188395
103249,188425
103249,184322
103249,188395
103589,172448
103589,179671
103589,179671
103589,179671
103589,172448
103589,172448
103589,172448
103589,172448
103589,172448
103589,172448
103589,172448
103589,172448
103589,179671
103589,179671
103589,172448
105074,206504
105074,137391
105074,137391
105074,137391
105074,137391
105074,102539
105074,206504
105074,206504
105074,102539
105074,102539
106764,113476
106764,198005
106764,113476
106764,113476
106764,198005
106764,198013
106764,199176
106764,199176
106764,199176
106827,102512
106827,102512
106827,102512
106827,102512
106827,102512
106827,102512
106827,101141
106827,101141
106827,102512
106837,184217
106837,184128
106837,184241
106837,188476
106837,184128
106837,184241
106837,184357
106837,184217
106837,184357
106837,188476
106916,184896
106916,188247
106916,184896
106916,188247
106916,188476
106916,188476
106916,184799
106916,184799
106916,188298
106916,188298
107134,184276
107134,188379
107134,184276
107134,188336
107134,188379
107134,184934
107134,188433
107134,184268
107134,184934
107134,188433
107134,184268
107134,188336
10800,184331
10800,188328
10800,184250
10800,184250
10800,188328
10800,184241
10800,184241
10800,184331
109251,188379
109251,184179
109251,184179
109251,184721
109251,188387
109251,188387
109251,184721
109251,188361
109251,188379
109251,188361
110476,188425
110476,184152
110476,184250
110476,184250
110476,184331
110476,184331
110476,188425
110476,184152
110571,184161
110571,184209
110571,184241
110571,188425
110571,184322
110571,184241
110571,188425
110571,184161
110571,184209
110571,184322
111513,188387
111513,137553
111513,137553
111513,188361
111513,188361
111513,188395
111513,184179
111513,184179
111513,188395
111513,188433
111513,188387
111513,188433
114053,137553
114053,134465
114053,134465
114053,184039
114053,184799
114053,184799
114053,185035
114053,185035
114053,184039
114053,137553
114525,186295
114525,186716
114525,181641
114525,181641
114525,186295
114525,181242
114525,181242
114525,186716
115402,184161
115402,184161
115402,184365
115402,184926
115402,184276
115402,184365
115402,184276
115402,184926
115402,188344
115402,188344
115520,209228
115520,209228
115520,209228
115520,209228
115520,209228
115520,209228
115520,209228
115520,209228
115520,209228
115520,209228
115520,209228
115520,209228
115520,209228
115520,209228
115520,209228
116736,139408
116736,139173
116736,139343
116736,139408
116736,139173
116736,139220
116736,139343
116736,139220
116806,184365
116806,184365
116806,184926
116806,188387
116806,188433
116806,188387
116806,188310
116806,188310
116806,188433
116806,184926
118053,117889
118053,207438
118053,207438
118053,207438
118053,116343
118053,116343
118053,116394
118053,116394
118053,117889
118053,207438
118053,207438
118495,184136
118495,184128
118495,184136
118495,184233
118495,184462
118495,184128
118495,184233
118495,184365
118495,184462
118495,184365
119238,181757
119238,186759
119238,181650
119238,181650
119238,186759
119238,181757
119238,181862
119238,181862
119279,188387
119279,184276
119279,188387
119279,188441
119279,184179
119279,188433
119279,188441
119279,184276
119279,188433
119279,188239
119279,184179
119279,188379
119279,188239
119279,188379
119645,134601
119645,181846
119645,181188
119645,181102
119645,181102
119645,186040
119645,202339
119645,134601
119645,181188
119645,181846
119645,186040
119724,137553
119724,185035
119724,134465
119724,184039
119724,184799
119724,137553
119724,184039
119724,134465
119724,184799
119724,185035
119966,184071
119966,184365
119966,184365
119966,188441
119966,188441
119966,184276
119966,184217
119966,184276
119966,184926
119966,184926
119966,137553
119966,184071
119966,184217
119966,137553
121846,206512
121846,206512
121846,206504
121846,206482
121846,206482
121846,206504
121846,206482
121846,206504
121846,206512
122519,199176
122519,198005
122519,113476
122519,113476
122519,198005
122519,198013
122519,113476
122519,199176
122519,199176
122856,184080
122856,181846
122856,181846
122856,181862
122856,181862
122856,184080
122856,186261
122856,186261
123838,205311
123838,205311
123838,139173
123838,139343
123838,205311
123838,139220
123838,139343
123838,205311
123838,139173
123838,139220
123854,188344
123854,184217
123854,184233
123854,184128
123854,184128
123854,184233
123854,184144
123854,184217
123854,188344
123854,184144
123854,184357
123854,184357
123854,184462
123854,184462
124402,184926
124402,188433
124402,184217
124402,184217
124402,184276
124402,184365
124402,188352
124402,184276
124402,184365
124402,188352
124402,184926
124402,188239
124402,188239
124402,188433
125082,115045
125082,117889
125082,117889
125082,113107
125082,115045
125082,116394
125082,113107
125082,113417
125082,113417
125082,116394
125101,115011
125101,186279
125101,181684
125101,115011
125101,186287
125101,115011
125101,181684
125101,186279
125101,186287
125354,184161
125354,184233
125354,184462
125354,184161
125354,184357
125354,184250
125354,184250
125354,184462
125354,184233
125354,184357
125894,176273
125894,176273
125894,176273
125894,176273
125894,176281
125894,176281
125894,176281
125894,176281
125894,176265
125894,176273
125894,176281
125894,176265
125894,176265
125894,176281
125894,176265
125894,176265
125894,176265
125894,176273
125894,176281
125898,184021
125898,140481
125898,184021
125898,140481
125898,181129
125898,132012
125898,132012
125898,181129
125982,184322
125982,188310
125982,184144
125982,184144
125982,184250
125982,184250
125982,184721
125982,184721
125982,188310
125982,184322
125986,188433
125986,184128
125986,184365
125986,184934
125986,184365
125986,184926
125986,188433
125986,188441
125986,188441
125986,184128
125986,184926
125986,184934
125986,184276
125986,184276
125992,113115
125992,117536
125992,111830
125992,116441
125992,116441
125992,113115
125992,111830
125992,117536
126528,184063
126528,184063
126528,184161
126528,184187
126528,188361
126528,188387
126528,184161
126528,188387
126528,184187
126528,184934
126528,184934
126528,188361
128117,184179
128117,184063
128117,184063
128117,184276
128117,188441
128117,184365
128117,188433
128117,188433
128117,184268
128117,184276
128117,184365
128117,184179
128117,184268
128117,188441
128159,184365
128159,184365
128159,188441
128159,184721
128159,184179
128159,184179
128159,188441
128159,184721
128159,188352
128159,188425
128159,188352
128159,188395
128159,188425
128159,188395
130594,206491
130594,201405
